Measure,Relationship,Type,Name,Alias,Country,Address,Registration number,Notes,Source URL
ABLV Bank,self,,ABLV Bank,ABLV Bank AS; ABLV Bank-in-Liquidation,Latvia,"Riga, Latvia",,"""This document withdraws FinCEN's finding that ABLV Bank AS (ABLV) is a financial institution of primary money laundering concern and the related notice of proposed rulemaking seeking to impose the fifth special measure regarding ABLV, pursuant to section 311 of the USA PATRIOT Act (section 311)""; ""On February 16, 2018, FinCEN issued a notice of proposed rulemaking (NPRM) that (1) set forth FinCEN's finding that ABLV, a commercial bank located in Riga, Latvia, was, at that time, a foreign financial institution of primary money laundering concern and (2) proposed imposing special measure five under section 311""; ""On June 12, 2018, ABLV—with the approval of FCMC—entered irrevocable liquidation, formally changing its name to ABLV Bank-in-Liquidation""",https://www.federalregister.gov/public-inspection/2024-22299/special-measure-against-ablv-bank-as-as-a-financial-institution-of-primary-money-laundering-concern
ABLV Bank,self,,ABLV Bank,"ABLV Bank, AS",Latvia,"Riga, Latvia",,"""ABLV Bank, AS (ABLV), a commercial bank located in Riga, Latvia, is a foreign financial institution of primary money laundering concern pursuant to Section 311""; ""Established in 1993, ABLV Bank, AS (ABLV) is headquartered in Riga, Latvia""; ""ABLV is Latvia's largest NRD bank by assets""",https://www.fincen.gov/system/files/federal_register_notices/2018-02-16/2018-03214.pdf
ABLV Bank,subsidiary,Company,ABLV Bank Luxembourg S.A.,,Luxembourg,,,"""the European Central Bank (ECB) determined that ABLV—as well as its subsidiary ABLV Bank Luxembourg—was failing or likely to fail""; ""Shortly afterward, the Luxembourg courts ordered ABLV Bank Luxembourg dissolved""; ""Dissolution and judicial liquidation: ABLV Bank Luxembourg S.A. – Appointment of liquidators""",https://www.federalregister.gov/public-inspection/2024-22299/special-measure-against-ablv-bank-as-as-a-financial-institution-of-primary-money-laundering-concern
ABLV Bank,subsidiary,Company,"ABLV Bank, Luxembourg, S.A.",,Luxembourg,,,"""ABLV holds several subsidiary entities, including a subsidiary bank, ABLV Bank, Luxembourg, S.A., located in Luxembourg""; ""The proposed rule defines “ABLV” to mean all subsidiaries, branches, and offices of ABLV Bank, AS operating as a bank in any jurisdiction""",https://www.fincen.gov/system/files/federal_register_notices/2018-02-16/2018-03214.pdf
ABLV Bank,target,Company,"ABLV Bank, Luxembourg, S.A.",,Luxembourg,,,"""As noted above, FinCEN is aware of one subsidiary bank, ABLV Bank, Luxembourg, S.A., located in Luxembourg""; ""ABLV means all subsidiaries, branches, and offices of ABLV Bank, AS operating as a bank in any jurisdiction""",https://www.fincen.gov/system/files/federal_register_notices/2018-02-16/2018-03214.pdf
ABLV Bank,owner,Company,"Cassandra Holding Company, SIA",,,,,"""Bernis holds 4.93 percent of shares in the bank directly, and 43.12 percent of shares indirectly via Cassandra Holding Company, SIA""",https://www.fincen.gov/system/files/federal_register_notices/2018-02-16/2018-03214.pdf
ABLV Bank,owner,Person,Ernests Bernis,,,,,"""The beneficial owners of ABLV are Ernests Bernis and Oleg Fils""; ""Bernis holds 4.93 percent of shares in the bank directly, and 43.12 percent of shares indirectly via Cassandra Holding Company, SIA""",https://www.fincen.gov/system/files/federal_register_notices/2018-02-16/2018-03214.pdf
ABLV Bank,owner,Person,Oleg Fils,,,,,"""The beneficial owners of ABLV are Ernests Bernis and Oleg Fils""; ""Fils holds 43.13 percent of shares in ABLV indirectly through SIA “OF Holding.”""",https://www.fincen.gov/system/files/federal_register_notices/2018-02-16/2018-03214.pdf
ABLV Bank,owner,Company,SIA “OF Holding”,,,,,"""Fils holds 43.13 percent of shares in ABLV indirectly through SIA “OF Holding.”""",https://www.fincen.gov/system/files/federal_register_notices/2018-02-16/2018-03214.pdf
ABLV Bank,related,Person,Serhiy Kurchenko,,Ukraine,,,"""Through 2014, for example, Ukrainian tycoon Serhiy Kurchenko funneled billions of dollars through his ABLV shell company accounts""; ""Treasury's Office of Foreign Assets Control (OFAC) designated Kurchenko in 2015, finding that he was responsible for, complicit in, or had engaged in, directly or indirectly, the misappropriation of state assets of Ukraine or of an economically significant entity in Ukraine""; ""ABLV maintained at least nine shell company accounts linked to Kurchenko""",https://www.fincen.gov/system/files/federal_register_notices/2018-02-16/2018-03214.pdf
Al-Huda Bank,self,,Al-Huda Bank,,Iraq,"Baghdad, Iraq",,"""Al-Huda Bank is a private commercial bank registered and headquartered in Baghdad, Iraq, with five domestic branch locations""; ""These domestic branches are in Baghdad, Karbala, and Nasiriyah""; ""Al-Huda Bank has no subsidiaries or branches outside of Iraq, and is regulated by the CBI""",https://www.federalregister.gov/documents/2024/01/31/2024-02004/proposal-of-special-measure-regarding-al-huda-bank-as-a-foreign-financial-institution-of-primary
Al-Huda Bank,self,,Al-Huda Bank,,Iraq,"Baghdad, Iraq",,"""Al-Huda Bank is a private commercial bank registered and headquartered in Baghdad, Iraq, with five branch locations in Baghdad, Karbala, and Nasiriyah, Iraq""; ""Al-Huda Bank has no subsidiaries or branches outside of Iraq and is regulated by the Central Bank of Iraq (CBI)""; ""Following the issuance of the NPRM, the CBI banned Al-Huda Bank from accessing the CBI dollar auction""",https://www.federalregister.gov/documents/2024/07/03/2024-14415/imposition-of-special-measure-regarding-al-huda-bank-as-a-financial-institution-of-primary-money
